,color_space,spatial_feat,spatial_size,hist_feat,hist_bins,hog_feat,orient,pix_per_cell,cell_per_block,hog_channel,clf_name,train_time,accuracy
0,RGB,False,"(16, 16)",False,16,True,9,8,2,0,SVC_10_rbf,15.948,0.9458
1,RGB,False,"(16, 16)",False,16,True,9,8,2,0,SVC_10_linear,13.752,0.88
2,RGB,False,"(16, 16)",False,16,True,9,8,2,0,dt,9.68,0.8433
3,RGB,False,"(16, 16)",False,16,True,9,8,2,0,SVC_1_linear,13.824,0.8808
4,RGB,False,"(16, 16)",False,16,True,9,8,2,0,nb,0.139,0.8117
5,RGB,False,"(16, 16)",False,16,True,9,8,2,0,SVC_1_rbf,17.602,0.9092
6,RGB,False,"(16, 16)",False,16,True,9,8,2,1,SVC_10_rbf,12.22,0.935
7,RGB,False,"(16, 16)",False,16,True,9,8,2,1,SVC_10_linear,11.42,0.9017
8,RGB,False,"(16, 16)",False,16,True,9,8,2,1,dt,7.595,0.8392
9,RGB,False,"(16, 16)",False,16,True,9,8,2,1,SVC_1_linear,11.805,0.8975
10,RGB,False,"(16, 16)",False,16,True,9,8,2,1,nb,0.151,0.8067
11,RGB,False,"(16, 16)",False,16,True,9,8,2,1,SVC_1_rbf,17.234,0.9058
12,RGB,False,"(16, 16)",False,16,True,9,8,2,2,SVC_10_rbf,12.483,0.9333
13,RGB,False,"(16, 16)",False,16,True,9,8,2,2,SVC_10_linear,11.968,0.9083
14,RGB,False,"(16, 16)",False,16,True,9,8,2,2,dt,7.975,0.8542
15,RGB,False,"(16, 16)",False,16,True,9,8,2,2,SVC_1_linear,11.909,0.9075
16,RGB,False,"(16, 16)",False,16,True,9,8,2,2,nb,0.139,0.8083
17,RGB,False,"(16, 16)",False,16,True,9,8,2,2,SVC_1_rbf,17.63,0.8875
18,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,SVC_10_rbf,34.891,0.9417
19,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,SVC_10_linear,30.421,0.9217
20,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,dt,26.111,0.8425
21,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,SVC_1_linear,30.398,0.9217
22,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,nb,0.449,0.8075
23,RGB,False,"(16, 16)",False,16,True,9,8,2,ALL,SVC_1_rbf,50.302,0.9033
24,RGB,False,"(16, 16)",True,16,False,9,8,2,0,SVC_10_rbf,1.181,0.4833
25,RGB,False,"(16, 16)",True,16,False,9,8,2,0,SVC_10_linear,1.028,0.4833
26,RGB,False,"(16, 16)",True,16,False,9,8,2,0,dt,0.001,0.4833
27,RGB,False,"(16, 16)",True,16,False,9,8,2,0,SVC_1_linear,1.043,0.4833
28,RGB,False,"(16, 16)",True,16,False,9,8,2,0,nb,0.003,0.4833
29,RGB,False,"(16, 16)",True,16,False,9,8,2,0,SVC_1_rbf,1.225,0.4833
30,RGB,False,"(16, 16)",True,16,False,9,8,2,1,SVC_10_rbf,1.217,0.4867
31,RGB,False,"(16, 16)",True,16,False,9,8,2,1,SVC_10_linear,1.08,0.4867
32,RGB,False,"(16, 16)",True,16,False,9,8,2,1,dt,0.001,0.4867
33,RGB,False,"(16, 16)",True,16,False,9,8,2,1,SVC_1_linear,1.054,0.4867
34,RGB,False,"(16, 16)",True,16,False,9,8,2,1,nb,0.003,0.5133
35,RGB,False,"(16, 16)",True,16,False,9,8,2,1,SVC_1_rbf,1.279,0.4867
36,RGB,False,"(16, 16)",True,16,False,9,8,2,2,SVC_10_rbf,1.222,0.4825
37,RGB,False,"(16, 16)",True,16,False,9,8,2,2,SVC_10_linear,1.045,0.4825
38,RGB,False,"(16, 16)",True,16,False,9,8,2,2,dt,0.001,0.4825
39,RGB,False,"(16, 16)",True,16,False,9,8,2,2,SVC_1_linear,1.033,0.4825
40,RGB,False,"(16, 16)",True,16,False,9,8,2,2,nb,0.003,0.4825
41,RGB,False,"(16, 16)",True,16,False,9,8,2,2,SVC_1_rbf,1.241,0.4825
42,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,SVC_10_rbf,1.266,0.4908
43,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,SVC_10_linear,1.048,0.4908
44,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,dt,0.002,0.4908
45,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,SVC_1_linear,1.057,0.4908
46,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,nb,0.004,0.4908
47,RGB,False,"(16, 16)",True,16,False,9,8,2,ALL,SVC_1_rbf,1.214,0.4908
48,RGB,False,"(16, 16)",True,16,True,9,8,2,0,SVC_10_rbf,13.124,0.9425
49,RGB,False,"(16, 16)",True,16,True,9,8,2,0,SVC_10_linear,14.191,0.8967
50,RGB,False,"(16, 16)",True,16,True,9,8,2,0,dt,9.186,0.84
51,RGB,False,"(16, 16)",True,16,True,9,8,2,0,SVC_1_linear,14.092,0.9033
52,RGB,False,"(16, 16)",True,16,True,9,8,2,0,nb,0.128,0.81
53,RGB,False,"(16, 16)",True,16,True,9,8,2,0,SVC_1_rbf,17.906,0.9025
54,RGB,False,"(16, 16)",True,16,True,9,8,2,1,SVC_10_rbf,12.786,0.9283
55,RGB,False,"(16, 16)",True,16,True,9,8,2,1,SVC_10_linear,12.293,0.8767
56,RGB,False,"(16, 16)",True,16,True,9,8,2,1,dt,7.289,0.8183
57,RGB,False,"(16, 16)",True,16,True,9,8,2,1,SVC_1_linear,12.199,0.8758
58,RGB,False,"(16, 16)",True,16,True,9,8,2,1,nb,0.139,0.8033
59,RGB,False,"(16, 16)",True,16,True,9,8,2,1,SVC_1_rbf,17.439,0.8933
60,RGB,False,"(16, 16)",True,16,True,9,8,2,2,SVC_10_rbf,13.121,0.9467
61,RGB,False,"(16, 16)",True,16,True,9,8,2,2,SVC_10_linear,11.796,0.9
62,RGB,False,"(16, 16)",True,16,True,9,8,2,2,dt,7.573,0.8417
63,RGB,False,"(16, 16)",True,16,True,9,8,2,2,SVC_1_linear,11.639,0.9058
64,RGB,False,"(16, 16)",True,16,True,9,8,2,2,nb,0.133,0.815
65,RGB,False,"(16, 16)",True,16,True,9,8,2,2,SVC_1_rbf,18.235,0.8958
66,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,SVC_10_rbf,35.337,0.94
67,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,SVC_10_linear,31.321,0.9208
68,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,dt,25.261,0.8483
69,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,SVC_1_linear,31.323,0.9208
70,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,nb,0.413,0.7992
71,RGB,False,"(16, 16)",True,16,True,9,8,2,ALL,SVC_1_rbf,49.282,0.8975
72,RGB,True,"(16, 16)",False,16,False,9,8,2,0,SVC_10_rbf,4.942,0.9733
73,RGB,True,"(16, 16)",False,16,False,9,8,2,0,SVC_10_linear,61.529,0.8767
74,RGB,True,"(16, 16)",False,16,False,9,8,2,0,dt,3.278,0.8942
75,RGB,True,"(16, 16)",False,16,False,9,8,2,0,SVC_1_linear,16.034,0.9033
76,RGB,True,"(16, 16)",False,16,False,9,8,2,0,nb,0.043,0.7825
77,RGB,True,"(16, 16)",False,16,False,9,8,2,0,SVC_1_rbf,6.314,0.9658
78,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_10_rbf,5.078,0.9725
79,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_10_linear,64.325,0.8775
80,RGB,True,"(16, 16)",False,16,False,9,8,2,1,dt,3.556,0.8992
81,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_1_linear,18.577,0.9067
82,RGB,True,"(16, 16)",False,16,False,9,8,2,1,nb,0.043,0.7717
83,RGB,True,"(16, 16)",False,16,False,9,8,2,1,SVC_1_rbf,6.226,0.9667
84,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_10_rbf,5.033,0.975
85,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_10_linear,67.139,0.8767
86,RGB,True,"(16, 16)",False,16,False,9,8,2,2,dt,3.764,0.8825
87,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_1_linear,16.247,0.8925
88,RGB,True,"(16, 16)",False,16,False,9,8,2,2,nb,0.046,0.7767
89,RGB,True,"(16, 16)",False,16,False,9,8,2,2,SVC_1_rbf,6.19,0.9667
90,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_10_rbf,4.802,0.9683
91,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_10_linear,56.6,0.8958
92,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,dt,4.108,0.8933
93,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_1_linear,15.747,0.9067
94,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,nb,0.043,0.7642
95,RGB,True,"(16, 16)",False,16,False,9,8,2,ALL,SVC_1_rbf,6.021,0.9575
96,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_10_rbf,16.103,0.9867
97,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_10_linear,12.202,0.9458
98,RGB,True,"(16, 16)",False,16,True,9,8,2,0,dt,14.264,0.895
99,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_1_linear,12.187,0.9458
100,RGB,True,"(16, 16)",False,16,True,9,8,2,0,nb,0.175,0.785
101,RGB,True,"(16, 16)",False,16,True,9,8,2,0,SVC_1_rbf,19.309,0.9667
102,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_10_rbf,15.396,0.985
103,RGB,True,"(16, 16)",False,16,True,9,8,2,1,SVC_10_linear,11.846,0.9567
